GEO.id2,HD01_VD18
Id2,Income Females: - Bachelor's degree
92503,49776
92504,41399
92505,37126
92506,52603
92507,41685
92508,54159
92509,44727
92518,17188
92530,37961
92532,44375
92536,"2,500-"
92539,58125
92543,32542
92544,33679
92545,32375
92548,26583
92549,23125
92551,42815
92553,39444
92555,45617
92557,48186
92561,105764
92562,50938
92563,39369
92567,22453
92570,32708
92571,42586
92582,38875
92583,37826
92584,47655
92585,55833
92586,15000
92587,22326
92590,46000
92591,40340
92592,41092
92595,31974
92596,22438
92602,56667
92603,53005
92604,43986
92606,55278
92610,68250
92612,47569
92614,54933
92617,25133
92618,66667
92620,53810
92624,43750
92625,65689
92626,48955
92627,40512
92629,43821
92630,53409
92637,26305
92646,50549
92647,50685
92648,50659
92649,57555
92651,45556
92653,37708
92655,46667
92656,58253
92657,58542
92660,42281
92661,51458
92662,31766
92663,46352
92672,38125
92673,36922
92675,42361
92676,81563
92677,51575
92678,101071
92679,50791
92683,39184
92688,53764
92691,51058
92692,54528
92694,58500
92701,40188
92703,35962
92704,36019
92705,48103
92706,41875
92707,45174
92708,46379
92780,48173
92782,64318
92801,37939
92802,55263
92804,40386
92805,42253
92806,37763
92807,48233
92808,54789
92821,52042
92823,60000
92831,41237
92832,42356
92833,40253
92835,41913
92840,48684
92841,44174
92843,39397
92844,40300
92845,45672
92860,58387
92861,68214
92865,44468
92866,55221
92867,51215
92868,50234
92869,45637
92870,51331
92879,43258
92880,54352
92881,49375
92882,40273
92883,51109
92886,53114
92887,50469
93001,43056
93003,42363
93004,44023
93010,41302
93012,60085
93013,47130
93015,48643
93021,53632
93022,55435
93023,39628
93030,35664
93033,31672
93035,46149
93036,42716
93040,-
93041,47435
93042,-
93043,-
93060,42083
93063,55469
93064,-
93065,51350
93066,25625
93067,70450
93101,37220
93103,39100
93105,46556
93108,32115
93109,47946
93110,42857
93111,40738
93117,36471
93201,-
93202,-
93203,32604
93204,7143
93205,-
93206,11250
93207,-
93208,-
93210,50919
93212,51429
93215,34435
93218,40313
93219,33158
93220,-
93221,36912
93222,14551
93223,30313
93224,-
93225,33428
93226,-
93230,46705
93234,-
93235,-
93238,55096
93239,21848
93240,31116
93241,29107
93242,66250
93243,17281
93244,12083
93245,43529
93247,30960
93249,-
93250,37050
93251,-
93252,-
93254,62841
93255,-
93256,32045
93257,46485
93258,-
93260,-
93261,58000
93262,-
93263,34722
93265,31250
93266,-
93267,58276
93268,15000
93270,55208
93271,40357
93272,40417
93274,45197
93276,-
93277,49828
93280,30288
93283,-
93285,45167
93286,46667
93287,"2,500-"
93291,41171
93292,47035
93301,43056
93304,32227
93305,54207
93306,51657
93307,32813
93308,52632
93309,42355
93311,55163
93312,51916
93313,38676
93314,62424
93401,43386
93402,40288
93405,34730
93410,-
93420,32021
93422,45285
93424,12045
93426,7813
93427,36406
93428,49432
93429,-
93430,13750
93432,14295
93433,28963
93434,42500
93436,48684
93437,21250
93440,47222
93441,41667
93442,32063
93444,58021
93445,40921
93446,46387
93449,24133
93450,-
93451,27047
93452,76000
93453,21122
93454,50942
93455,45060
93458,38793
93460,45280
93461,41875
93463,51288
93465,48056
93501,27404
93505,59327
93510,43536
93512,-
93513,33500
93514,30268
93516,39107
93517,100917
93518,43750
93519,-
93522,-
93523,37917
93524,-
93526,26250
93527,71152
93528,-
93529,-
93530,-
93531,-
93532,42837
93534,33894
93535,42786
93536,59126
93541,-
93543,21094
93544,82692
93545,53458
93546,36869
93549,-
93550,32368
93551,48000
93552,46205
93553,46375
