GEO.id,GEO.id2,GEO.display-label,D001,D026,D035,D036,D037,D038,D039
Id,Id2,Geography,Total:,Female:,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years
8600000US90802,90802,ZCTA5 90802,13522,6100,891,658,512,400,476
8600000US90803,90803,ZCTA5 90803,23744,11877,1068,865,780,853,926
8600000US90804,90804,ZCTA5 90804,9870,4874,556,392,346,351,408
8600000US90805,90805,ZCTA5 90805,8490,4333,211,250,247,273,323
8600000US90806,90806,ZCTA5 90806,3838,1858,106,128,101,137,166
8600000US90807,90807,ZCTA5 90807,12074,5986,273,305,329,385,528
8600000US90808,90808,ZCTA5 90808,24376,12517,474,602,767,933,1126
8600000US90810,90810,ZCTA5 90810,2248,1054,49,52,54,75,61
8600000US90813,90813,ZCTA5 90813,3999,1783,161,138,116,130,162
8600000US90814,90814,ZCTA5 90814,10788,5412,566,451,454,452,473
8600000US90815,90815,ZCTA5 90815,24438,12507,571,576,725,859,1030
8600000US90822,90822,ZCTA5 90822,63,2,0,0,0,0,0
8600000US90831,90831,ZCTA5 90831,0,0,0,0,0,0,0
8600000US91001,91001,ZCTA5 91001,12795,6446,245,288,416,539,614
8600000US91006,91006,ZCTA5 91006,8840,4460,151,132,178,249,321
8600000US91007,91007,ZCTA5 91007,8491,4554,170,145,143,200,258
8600000US91008,91008,ZCTA5 91008,823,470,6,7,9,14,35
8600000US91010,91010,ZCTA5 91010,5959,3120,140,148,145,187,200
8600000US91011,91011,ZCTA5 91011,13118,6634,124,144,226,427,622
8600000US91016,91016,ZCTA5 91016,16410,8400,451,441,457,632,801
8600000US91020,91020,ZCTA5 91020,4606,2418,165,131,141,180,191
8600000US91024,91024,ZCTA5 91024,7891,4082,132,200,215,275,362
8600000US91030,91030,ZCTA5 91030,11179,5660,369,315,358,481,518
8600000US91040,91040,ZCTA5 91040,12836,6345,341,309,330,447,598
8600000US91042,91042,ZCTA5 91042,16450,8185,561,468,430,571,727
8600000US91046,91046,ZCTA5 91046,119,85,0,0,0,4,4
8600000US91101,91101,ZCTA5 91101,8112,4132,794,490,304,228,200
8600000US91103,91103,ZCTA5 91103,5210,2537,155,128,172,163,183
8600000US91104,91104,ZCTA5 91104,15234,7809,464,505,553,607,681
8600000US91105,91105,ZCTA5 91105,7383,3714,135,172,176,215,243
8600000US91106,91106,ZCTA5 91106,10280,4998,548,463,321,323,325
8600000US91107,91107,ZCTA5 91107,15389,7758,418,443,470,551,593
8600000US91108,91108,ZCTA5 91108,5003,2502,44,35,101,154,194
8600000US91201,91201,ZCTA5 91201,15652,7952,588,486,521,641,653
8600000US91202,91202,ZCTA5 91202,15731,8168,599,525,508,569,629
8600000US91203,91203,ZCTA5 91203,7826,4030,389,284,277,253,305
8600000US91204,91204,ZCTA5 91204,7013,3620,312,257,245,242,254
8600000US91205,91205,ZCTA5 91205,20989,10833,824,670,678,709,818
8600000US91206,91206,ZCTA5 91206,20743,10802,786,648,673,710,847
8600000US91207,91207,ZCTA5 91207,7775,4045,218,215,229,302,318
8600000US91208,91208,ZCTA5 91208,11212,5771,288,309,337,430,523
8600000US91210,91210,ZCTA5 91210,174,86,23,16,9,8,6
8600000US91214,91214,ZCTA5 91214,17707,9026,356,346,474,638,843
