GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
8600000US90263,90263,ZCTA5 90263,0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US90265,90265,ZCTA5 90265,6935,326,131042,11629,91.2,2.3,129091,13055,1.1,0.7,145521,143842,0.3,0.5,-,**,4.3,1.9,152243,48362,0.0,0.5,-,**,0.9,0.7,27112,54949,2.2,1.2,135833,18767,3.6,1.3,105179,31135,88.5,2.3,130379,14239,1.9,1.0,12148,12182,19.8,3.2,135706,28498,48.8,3.2,147879,17881,29.6,3.1,114769,22812,4731,245,149981,11672,42.4,3.7,150085,19923,57.6,3.7,149917,17812,84.8,3.1,163528,10415,11.4,2.5,63179,14082,3.8,1.7,94315,15792,2204,313,78000,37478,48.4,7.5,49830,14607,39.9,7.7,46957,6790,8.5,3.6,78250,54611,51.6,7.5,174688,141309,41.8,7.7,111332,69578,9.8,4.9,192400,47271,32.6,(X),(X),(X),36.4,(X),(X),(X),22.8,(X),(X),(X)
8600000US90266,90266,ZCTA5 90266,14089,356,134445,5051,89.0,1.5,134343,4701,0.7,0.4,77321,177751,0.3,0.3,71157,30368,6.5,1.1,176406,40087,0.0,0.3,-,**,1.4,0.7,103438,91502,2.1,0.8,105043,48992,5.3,1.2,97446,20445,85.3,1.6,135088,4741,0.8,0.5,63269,6183,35.9,2.4,140395,13724,41.9,2.1,162090,7000,21.4,1.6,80037,19421,8796,258,176461,10315,50.7,2.6,210417,27478,49.3,2.6,152007,11573,87.7,2.6,189886,8408,7.4,2.0,81154,14042,4.9,1.6,84526,67975,5293,428,83625,11161,49.2,4.3,69896,9195,40.0,4.2,61351,6716,9.1,2.4,111029,16027,50.8,4.3,101363,8846,38.7,4.3,85159,19681,12.1,3.3,148667,36330,25.4,(X),(X),(X),25.9,(X),(X),(X),24.0,(X),(X),(X)
8600000US90270,90270,ZCTA5 90270,6445,207,36494,2005,61.9,3.9,36272,1875,0.4,0.3,11094,21789,0.8,0.5,87375,33389,0.5,0.5,24286,86576,0.4,0.5,-,**,34.1,3.8,37306,6178,2.0,1.1,31951,63276,96.6,1.1,36744,2150,2.7,1.0,26354,12128,4.1,1.6,22064,19527,48.1,3.6,36829,3220,36.1,3.6,41739,7544,11.8,2.1,23182,5214,5632,163,37045,2353,63.6,3.6,33329,3651,36.4,3.6,49102,8799,58.8,3.9,39279,3982,25.8,3.4,19517,9562,15.4,2.6,42986,4526,813,160,20532,5400,40.1,9.8,13769,1963,34.1,9.3,12827,2229,6.0,5.3,68188,46207,59.9,9.8,24784,4595,50.6,10.0,24526,4227,9.3,5.9,33571,28201,47.0,(X),(X),(X),45.5,(X),(X),(X),29.6,(X),(X),(X)
8600000US90272,90272,ZCTA5 90272,8906,225,148984,20275,92.6,1.6,156500,17249,0.6,0.6,56484,72511,0.5,0.5,143421,145659,5.8,1.5,113405,65048,0.0,0.4,-,**,0.1,0.2,-,**,0.4,0.3,"250,000+",***,2.9,1.4,65054,59055,89.8,1.9,158309,13889,0.6,0.5,72933,58359,22.1,2.7,195769,51851,44.6,3.0,169302,25688,32.6,2.4,109902,12795,6531,280,182150,17279,46.8,3.0,248988,42365,53.2,3.0,158021,22517,87.4,2.8,195594,24316,8.9,2.4,90313,26591,3.8,1.7,"250,000+",***,2375,286,77875,19130,61.7,6.8,56758,12860,58.2,6.9,56250,11971,3.5,2.3,120114,137601,38.3,6.8,103077,26600,33.5,6.8,93476,24003,4.8,2.8,"250,000+",***,27.5,(X),(X),(X),28.8,(X),(X),(X),23.1,(X),(X),(X)
8600000US90274,90274,ZCTA5 90274,9412,233,150395,9758,78.3,1.8,155918,12073,1.6,0.8,128203,77567,0.5,0.5,150278,251777,18.2,1.8,136875,21279,0.0,0.4,-,**,0.8,0.6,61136,253135,0.5,0.3,31250,155893,3.4,1.1,137115,26338,75.8,1.9,156133,11632,0.0,0.4,-,**,14.8,1.7,142963,10352,45.5,2.5,190727,16241,39.7,2.0,101509,8746,7463,232,171934,9960,39.9,2.2,191810,15979,60.1,2.2,160083,13282,90.4,2.1,184744,12300,7.4,1.9,83384,17404,2.2,0.9,124028,47416,1949,218,71417,8256,63.3,6.7,50739,18851,56.5,6.4,47153,15664,6.8,3.7,136532,83841,36.7,6.7,100556,34690,32.8,6.6,88500,32185,3.9,2.5,166000,36151,26.2,(X),(X),(X),25.9,(X),(X),(X),27.2,(X),(X),(X)
8600000US90275,90275,ZCTA5 90275,15178,374,119792,6232,70.8,2.1,117592,7339,2.8,1.0,84176,15336,0.2,0.1,167969,94771,23.1,1.6,134978,15496,0.2,0.2,59917,101660,0.8,0.6,52031,86061,2.2,0.7,151328,67004,5.9,1.3,137861,30011,65.9,2.2,115354,8837,0.0,0.2,-,**,19.2,1.8,131667,10634,45.8,1.7,151742,10232,35.0,1.5,80502,8416,11998,290,136121,6959,41.3,2.2,153902,9522,58.7,2.2,123920,8898,87.3,2.4,148268,6072,9.1,2.2,67734,13834,3.6,1.1,91750,27835,3180,377,59894,8941,66.7,5.4,53821,8090,63.4,5.1,51528,8505,3.3,2.0,102237,105752,33.3,5.4,87303,42006,24.7,4.7,65694,31517,8.6,3.1,157206,47035,25.9,(X),(X),(X),26.0,(X),(X),(X),24.6,(X),(X),(X)
8600000US90277,90277,ZCTA5 90277,16562,411,92463,7060,81.5,2.2,95829,6068,2.5,1.2,125313,32419,0.2,0.2,46000,95979,9.7,1.4,105305,18554,0.0,0.2,-,**,3.2,1.4,60125,25728,2.9,1.2,63509,4364,10.9,2.2,64148,16135,74.7,2.6,99175,4923,2.2,0.9,53384,9271,35.9,2.2,96624,8191,41.3,2.4,113042,9492,20.6,1.7,50153,9970,8019,394,126861,10645,40.2,3.1,136304,18976,59.8,3.1,118903,11156,80.0,3.5,138970,8851,12.3,2.7,53528,8246,7.7,2.5,114604,23162,8543,528,69441,5216,52.5,4.0,62918,4913,41.8,3.3,52238,8472,10.7,2.8,79260,17423,47.5,4.0,81500,12439,35.9,3.5,68700,11547,11.6,3.1,122995,9798,20.7,(X),(X),(X),23.4,(X),(X),(X),17.5,(X),(X),(X)
8600000US90278,90278,ZCTA5 90278,16003,410,104264,7113,76.1,2.4,107688,5082,3.8,1.2,74375,30554,0.1,0.2,53125,51256,12.9,1.9,87969,18188,0.6,0.5,62420,77337,2.4,1.0,112746,46277,4.1,1.2,101471,56182,12.6,1.6,85461,12496,66.6,2.4,111104,5972,2.0,0.9,41227,3195,42.4,2.3,117740,15096,39.3,2.3,113797,10304,16.3,1.4,44324,10104,10691,363,117656,8476,45.8,3.2,126500,14061,54.2,3.2,114882,7159,75.0,3.5,140721,15170,16.4,3.0,46474,10637,8.6,2.2,98080,47273,5312,501,64384,6056,53.5,5.3,50327,6718,41.7,4.9,44078,4537,11.8,2.8,126741,30851,46.5,5.3,79432,13203,36.6,5.3,70000,14212,9.8,2.7,131823,27339,24.6,(X),(X),(X),24.3,(X),(X),(X),22.9,(X),(X),(X)
8600000US90280,90280,ZCTA5 90280,23925,488,41851,1521,43.3,1.8,44324,3068,0.8,0.3,27171,28138,0.6,0.2,50972,22273,1.3,0.4,52009,10864,0.1,0.1,57969,41920,52.2,1.9,39834,2394,1.6,0.5,54167,24166,91.8,0.9,41562,1442,6.0,0.8,42667,10043,2.8,0.7,29841,3586,44.4,1.8,41210,1687,38.1,1.6,48201,3517,14.8,1.3,30113,4013,20362,427,44347,1605,56.7,2.1,40006,2093,43.3,2.1,49525,3149,64.0,2.1,52590,2809,25.9,1.9,29070,3660,10.2,1.5,44820,6725,3563,373,21210,2684,50.2,5.4,15525,2890,43.8,5.8,13181,2583,6.3,2.6,39583,13644,49.8,5.4,26182,2723,37.1,5.1,21782,3981,12.7,3.5,36033,8990,34.3,(X),(X),(X),33.5,(X),(X),(X),25.9,(X),(X),(X)
