GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
8600000US92869,92869,ZCTA5 92869,12001,300,92241,5154,68.4,2.6,97987,5742,2.0,1.0,44872,25234,0.4,0.3,58036,17316,14.2,2.0,106738,27829,0.0,0.3,,,13.8,1.8,75213,9171,1.2,0.5,96250,55550,25.4,2.2,78077,8059,57.0,2.4,100482,6115,0.5,0.3,44792,10675,31.2,2.1,92540,9982,47.8,2.4,102232,6341,20.5,1.9,72308,11290,9390,297,100837,5130,42.9,2.8,88717,9492,57.1,2.8,105062,8132,78.3,3.0,111507,9422,15.8,2.6,55400,16745,5.9,1.7,75694,15537,2611,268,54304,5766,51.9,6.1,48603,6037,43.4,5.4,45592,3339,8.4,3.7,113125,63888,48.1,6.1,61690,18824,35.7,6.3,52371,10204,12.4,4.2,141477,50927,43.2,,,,45.7,,,,29.4,,,
8600000US92870,92870,ZCTA5 92870,16453,441,76612,3698,75.0,1.6,77420,4707,1.3,0.7,73750,11184,0.3,0.2,42578,62921,15.0,1.5,95809,14140,0.2,0.2,101648,17325,7.0,1.2,53298,9411,1.2,0.5,93750,28486,26.0,1.6,55125,9477,56.7,1.9,84010,4698,2.9,0.8,44602,11130,33.4,2.2,79444,5594,40.8,2.0,98893,5191,22.9,1.5,52791,4218,12570,349,85621,5823,45.7,2.5,85238,9116,54.3,2.5,86062,7198,76.3,2.5,99236,3781,17.7,2.2,56131,4340,6.0,1.4,75341,12774,3883,378,41609,7690,59.4,4.9,36073,5934,46.3,5.0,29594,5797,13.1,3.2,59946,28867,40.6,4.9,49630,6398,26.9,4.4,36918,13129,13.7,3.3,82321,28611,27.6,,,,27.9,,,,23.6,,,
8600000US92879,92879,ZCTA5 92879,13312,299,64149,3008,66.4,2.5,66152,4674,6.7,1.6,75745,12318,1.6,0.8,108977,91197,8.4,1.2,79500,16675,0.9,0.7,88197,53112,13.0,2.3,49777,9929,3.0,1.1,45000,12450,43.5,2.5,56534,5057,37.9,2.4,73899,7597,2.0,0.8,36579,18996,44.5,2.6,73455,5719,39.6,2.5,72969,5706,13.9,1.3,31593,2841,10500,381,67431,4164,56.3,2.8,65313,6857,43.7,2.8,69659,8942,70.8,3.1,76567,4800,19.9,2.7,43761,5246,9.3,1.6,57564,17999,2812,324,40887,12043,52.3,5.4,26899,4356,44.4,5.7,24934,2686,7.9,3.8,90217,30041,47.7,5.4,59082,6720,32.1,4.6,52607,8214,15.6,4.0,80714,23973,27.5,,,,28.1,,,,19.9,,,
8600000US92880,92880,ZCTA5 92880,15540,418,102608,3670,60.5,2.9,103403,5005,6.7,1.4,90441,17779,1.4,0.7,113750,23330,19.3,2.0,100948,7950,0.7,0.5,157031,119706,7.8,1.7,102985,10062,3.6,1.3,113056,64064,34.4,3.4,102083,8927,35.8,2.8,104039,4640,1.5,0.8,49125,22050,54.0,2.3,110489,5539,37.8,2.4,100867,4921,6.8,1.4,67969,21758,13901,480,103092,4976,64.5,2.8,101300,5563,35.5,2.8,107864,8729,81.2,2.7,112413,6079,11.1,2.1,54932,19995,7.7,1.5,77100,21801,1639,261,60703,9424,40.3,7.8,50099,25307,30.6,7.2,33750,23964,9.8,5.3,121591,54485,59.7,7.8,66731,41258,41.1,7.3,62909,10039,18.5,7.4,111310,34934,31.6,,,,30.5,,,,31.8,,,
8600000US92881,92881,ZCTA5 92881,8705,267,97327,7564,72.0,3.5,96737,8075,5.8,1.9,134963,62765,0.6,0.7,210729,162224,12.3,2.0,105658,40355,1.1,1.0,166900,88126,5.0,1.6,81250,18479,3.2,1.3,88417,58215,24.4,2.8,77448,15412,54.8,3.4,103006,9249,2.6,1.3,38333,11759,33.9,2.8,116136,15761,49.9,3.3,102870,18426,13.6,1.7,61719,24575,7292,300,106333,8418,54.4,3.4,105196,13713,45.6,3.4,107407,15400,83.4,3.6,118463,11192,11.0,2.7,59508,18020,5.6,2.2,78906,28389,1413,247,48631,19441,49.8,10.8,25917,9555,34.5,10.1,16269,3203,15.3,6.2,46500,51005,50.2,10.8,72778,18233,29.5,9.1,58674,27699,20.7,8.6,136875,101381,29.4,,,,29.1,,,,25.2,,,
8600000US92882,92882,ZCTA5 92882,19299,461,74064,2712,72.5,1.9,75386,3049,4.5,1.0,77277,26912,1.1,0.5,53681,23023,8.5,1.0,98883,12708,0.3,0.4,108585,4579,11.1,1.5,53420,4948,2.0,0.5,64946,31893,39.6,1.5,53251,2801,45.3,1.8,88945,4253,3.6,0.9,42188,8100,41.1,2.0,74618,4245,41.9,1.9,90753,4633,13.4,1.0,39485,4083,15818,409,78559,2200,57.3,2.0,74785,4724,42.7,2.0,84961,8269,76.5,2.1,92013,5480,16.2,2.0,32165,3146,7.3,1.3,43942,8024,3481,337,46510,5130,51.5,4.7,33504,5676,39.9,4.8,27921,5906,11.5,3.7,81250,37674,48.5,4.7,57624,6815,36.7,4.7,54341,4884,11.8,3.2,74293,38376,26.8,,,,27.7,,,,19.1,,,
8600000US92883,92883,ZCTA5 92883,9179,258,93964,4290,77.4,3.0,95466,4713,6.2,1.4,107647,31214,0.6,0.6,107125,29695,9.7,1.8,77593,14718,0.7,0.8,31658,26473,4.1,1.7,92647,59077,1.3,0.8,126806,38736,22.9,2.5,96504,9125,59.0,3.1,95386,6262,0.8,0.6,91528,107242,40.2,3.0,102526,6022,43.0,3.2,98252,6220,15.9,2.3,60665,11247,7548,338,97914,4190,52.2,3.3,99169,5616,47.8,3.3,92030,11576,83.4,3.4,102444,6910,11.9,2.9,74654,13169,4.8,1.8,73015,11772,1631,243,63074,9481,49.4,9.0,47297,14489,39.5,8.4,40375,24765,9.9,5.1,73750,43744,50.6,9.0,72521,7272,36.5,9.2,71125,16864,14.0,5.3,107404,76461,26.8,,,,26.2,,,,27.0,,,
8600000US92886,92886,ZCTA5 92886,15776,296,108450,3704,79.6,1.8,108490,3397,1.3,0.6,158333,119288,0.5,0.3,54375,56374,14.7,1.4,116406,18505,0.0,0.2,,,2.2,0.8,77446,21001,1.8,0.7,113922,12602,11.1,1.4,108994,8291,70.7,2.1,107994,3552,0.6,0.4,45000,61518,27.4,1.6,114947,12705,48.3,1.8,128555,8784,23.7,1.4,61486,2854,12514,351,118963,4490,45.5,1.9,126842,10476,54.5,1.9,115040,7544,85.4,1.9,130966,6629,10.4,1.7,64850,13170,4.2,1.0,93942,30239,3262,318,51172,7612,60.5,5.3,40471,5133,51.4,5.4,36480,5917,9.1,3.6,102137,58418,39.5,5.3,62347,6432,28.1,5.0,60177,8687,11.3,3.9,121000,61116,29.5,,,,28.2,,,,33.9,,,
8600000US92887,92887,ZCTA5 92887,6663,181,127381,6639,79.3,2.4,125272,7554,1.3,0.8,172426,41387,0.0,0.6,,,16.1,2.1,131000,21474,0.2,0.3,,,1.5,0.7,140500,16403,1.6,0.9,97639,105498,8.9,1.9,134706,14733,71.5,2.8,125032,7643,1.5,1.1,76179,43447,25.1,2.6,120833,12662,57.8,2.3,149056,13707,15.5,1.9,66607,18265,5539,209,140057,11112,44.4,2.5,151053,22064,55.6,2.5,135945,9779,86.8,2.6,152745,8525,8.5,1.9,54674,43786,4.7,2.1,77264,46725,1124,162,61250,15289,49.1,7.2,44432,6394,40.9,7.1,36618,9862,8.2,4.9,110278,20318,50.9,7.2,78839,12779,42.8,8.9,85072,26578,8.1,6.4,78705,62056,22.2,,,,22.2,,,,19.3,,,
8600000US93001,93001,ZCTA5 93001,12967,332,53541,3636,81.7,2.1,56383,5799,1.3,0.7,66719,91204,0.8,0.4,80878,49482,2.0,0.8,33785,16977,0.1,0.2,,,10.9,1.7,43658,5284,3.2,1.1,23929,31590,27.5,2.3,45851,6187,67.4,2.3,57705,8061,5.3,1.3,37917,13790,34.9,2.5,53523,7719,41.4,2.3,63842,9348,18.4,1.8,37325,14052,7005,456,65694,5724,46.9,3.4,52744,8333,53.1,3.4,76571,9955,68.1,4.0,75904,9713,21.6,3.3,34474,4371,10.2,3.2,68315,27214,5962,441,41821,3984,48.6,5.1,40195,7749,36.1,4.9,34880,6499,12.5,3.6,56351,11207,51.4,5.1,43833,5278,36.9,5.0,34702,9611,14.5,3.5,63482,36218,26.2,,,,25.8,,,,24.3,,,
